Day of Req Date,Count of Transaction Id
"July 9, 2017",6983
"July 8, 2017",8083
"July 7, 2017",7318
"July 6, 2017",7641
"July 5, 2017",8019
"July 4, 2017",6533
"July 3, 2017",6977
"July 2, 2017",7419
"July 1, 2017",7454
"June 30, 2017",7349
"June 29, 2017",7719
"June 28, 2017",6760
"June 27, 2017",6696
"June 26, 2017",6891
"June 25, 2017",7341
"June 24, 2017",7883
"June 23, 2017",7578
"June 22, 2017",8246
"June 21, 2017",7595
"June 20, 2017",7116
"June 19, 2017",7800
"June 18, 2017",7027
"June 17, 2017",7536
"June 16, 2017",7165
"June 15, 2017",7552
"June 14, 2017",6961
"June 13, 2017",7164
"June 12, 2017",7383
"June 11, 2017",7093
"June 10, 2017",7061
"June 9, 2017",6938
"June 8, 2017",7021
"June 7, 2017",6904
"June 6, 2017",7314
"June 5, 2017",8476
"June 4, 2017",7511
"June 3, 2017",7313
"June 2, 2017",7948
"June 1, 2017",7184
"May 31, 2017",7437
"May 30, 2017",7645
"May 29, 2017",7079
"May 28, 2017",7020
"May 27, 2017",7134
"May 26, 2017",7541
"May 25, 2017",7501
"May 24, 2017",6975
"May 23, 2017",6774
"May 22, 2017",6976
"May 21, 2017",7176
"May 20, 2017",7648
"May 19, 2017",7436
"May 18, 2017",7062
"May 17, 2017",6646
"May 16, 2017",6437
"May 15, 2017",7149
"May 14, 2017",6655
"May 13, 2017",7136
"May 12, 2017",6754
"May 11, 2017",6402
"May 10, 2017",6794
"May 9, 2017",6552
"May 8, 2017",6607
"May 7, 2017",6855
"May 6, 2017",7047
"May 5, 2017",6845
"May 4, 2017",7269
"May 3, 2017",5850
"May 2, 2017",3030
"May 1, 2017",6714
"April 30, 2017",6758
"April 29, 2017",7179
"April 28, 2017",6914
"April 27, 2017",6578
"April 26, 2017",6541
"April 25, 2017",7159
"April 24, 2017",7159
"April 23, 2017",6844
"April 22, 2017",7206
"April 21, 2017",6883
"April 20, 2017",6578
"April 19, 2017",6406
"April 18, 2017",6172
"April 17, 2017",6627
"April 16, 2017",6852
"April 15, 2017",7010
"April 14, 2017",7253
"April 13, 2017",7067
"April 12, 2017",6269
"April 11, 2017",5727
"April 10, 2017",6128
"April 9, 2017",6233
"April 8, 2017",6485
"April 7, 2017",6490
"April 6, 2017",5783
"April 5, 2017",5857
"April 4, 2017",5607
"April 3, 2017",6132
"April 2, 2017",6134
"April 1, 2017",6909
"March 31, 2017",6963
"March 30, 2017",6280
"March 29, 2017",6627
"March 28, 2017",5871
"March 27, 2017",6774
"March 26, 2017",6283
"March 25, 2017",6515
"March 24, 2017",6555
"March 23, 2017",7311
"March 22, 2017",6804
"March 21, 2017",6932
"March 20, 2017",6305
"March 19, 2017",6385
"March 18, 2017",6752
"March 17, 2017",6924
"March 16, 2017",6473
"March 15, 2017",6027
"March 14, 2017",5886
"March 13, 2017",5964
"March 12, 2017",6299
"March 11, 2017",6619
"March 10, 2017",6718
"March 9, 2017",7198
"March 8, 2017",5867
"March 7, 2017",6415
"March 6, 2017",6049
"March 5, 2017",6294
"March 4, 2017",6047
"March 3, 2017",6107
"March 2, 2017",5733
"March 1, 2017",5554
"February 28, 2017",5522
"February 27, 2017",5778
"February 26, 2017",6099
"February 25, 2017",6479
"February 24, 2017",6299
"February 23, 2017",6118
"February 22, 2017",5894
"February 21, 2017",5489
"February 20, 2017",6415
"February 19, 2017",6246
"February 18, 2017",6412
"February 17, 2017",6335
"February 16, 2017",5608
"February 15, 2017",5815
"February 14, 2017",5086
"February 13, 2017",5749
"February 12, 2017",6046
"February 11, 2017",6184
"February 10, 2017",7479
"February 9, 2017",5543
"February 8, 2017",5230
"February 7, 2017",5182
"February 6, 2017",5620
"February 5, 2017",5996
"February 4, 2017",5513
"February 3, 2017",5488
"February 2, 2017",5557
"February 1, 2017",5742
"January 31, 2017",6209
"January 30, 2017",5451
"January 29, 2017",5255
"January 28, 2017",5435
"January 27, 2017",6017
"January 26, 2017",5737
"January 25, 2017",5315
"January 24, 2017",4939
"January 23, 2017",4831
"January 22, 2017",5114
"January 21, 2017",5299
"January 20, 2017",5172
"January 19, 2017",4824
"January 18, 2017",4686
"January 17, 2017",4834
"January 16, 2017",4800
"January 15, 2017",5071
"January 14, 2017",5375
"January 13, 2017",5122
"January 12, 2017",4561
"January 11, 2017",4592
"January 10, 2017",4715
"January 9, 2017",4709
"January 8, 2017",4878
"January 7, 2017",5083
"January 6, 2017",4634
"January 5, 2017",4492
"January 4, 2017",4629
"January 3, 2017",4764
"January 2, 2017",4905
"January 1, 2017",4925
